ID,ImageType,Prompt
20_beginner_listen-to-books-01-Before,traditionalMethodDiagram,"graphic recording style, simple clean line art, minimalist, on a clean plain white background, monochrome, black and white, educational illustration, a person trying to read a thick, difficult book, but falling asleep after a few pages, the book is shown as a 'sleeping pill'."
20_beginner_listen-to-books-02-After,aiMethodDiagram,"graphic recording style, simple clean line art, minimalist, on a clean plain white background, monochrome, black and white, educational illustration, a person giving a book PDF to a friendly robot editor, the robot transforms it into an engaging audiobook script, which the person listens to while jogging."
19_beginner_time-reminder-01-Before,traditionalMethodDiagram,"graphic recording style, simple clean line art, minimalist, on a clean plain white background, monochrome, black and white, educational illustration, a person using a smartphone timer, a loud, annoying alarm bell rings, startling the person and breaking their concentration."
19_beginner_time-reminder-02-After,aiMethodDiagram,"graphic recording style, simple clean line art, minimalist, on a clean plain white background, monochrome, black and white, educational illustration, a friendly robot assistant gently tapping the person on the shoulder with a soft, polite speech bubble: 'Great focus! Time to move to the next task.'"
18_intermediate_emotion-wave-analysis-01-Before,traditionalMethodDiagram,"graphic recording style, simple clean line art, minimalist, on a clean plain white background, monochrome, black and white, educational illustration, a person trying to work but being tossed around by a chaotic wave of emotions and energy levels, looking out of control."
18_intermediate_emotion-wave-analysis-02-After,aiMethodDiagram,"graphic recording style, simple clean line art, minimalist, on a clean plain white background, monochrome, black and white, educational illustration, a person giving their daily journal to a friendly robot performance coach, the robot analyzes the data and shows the person their 'Golden Time' on a calendar, allowing them to surf the wave."
17_intermediate_learning-style-01-Before,traditionalMethodDiagram,"graphic recording style, simple clean line art, minimalist, on a clean plain white background, monochrome, black and white, educational illustration, a person trying to fit a square peg (their learning style) into a round hole (a popular learning method), looking frustrated and blaming themselves."
17_intermediate_learning-style-02-After,aiMethodDiagram,"graphic recording style, simple clean line art, minimalist, on a clean plain white background, monochrome, black and white, educational illustration, a person talking to a friendly robot psychologist, the robot analyzes their personality and presents a custom-fit learning strategy (e.g., a mind map for a visual learner)."
16_advanced_stumbling-prediction-01-Before,traditionalMethodDiagram,"graphic recording style, simple clean line art, minimalist, on a clean plain white background, monochrome, black and white, educational illustration, a person walking on a path and suddenly falling into an unexpected pitfall, looking shocked and demotivated."
16_advanced_stumbling-prediction-02-After,aiMethodDiagram,"graphic recording style, simple clean line art, minimalist, on a clean plain white background, monochrome, black and white, educational illustration, a friendly robot mentor showing a person a map of their learning path, with potential pitfalls clearly marked with warning signs, allowing the person to prepare and build a bridge over them."
15_beginner_backward-thinking-01-Before,traditionalMethodDiagram,"graphic recording style, simple clean line art, minimalist, on a clean plain white background, monochrome, black and white, educational illustration, a person standing at the base of a huge mountain (goal), looking up with an overwhelmed expression, not knowing which path to take."
15_beginner_backward-thinking-02-After,aiMethodDiagram,"graphic recording style, simple clean line art, minimalist, on a clean plain white background, monochrome, black and white, educational illustration, a friendly robot project manager showing a person a map that starts from the mountain peak and works backward, breaking the journey into small, manageable daily steps."
14_intermediate_custom-learning-roadmap-01-Before,traditionalMethodDiagram,"graphic recording style, simple clean line art, minimalist, on a clean plain white background, monochrome, black and white, educational illustration, a person standing at a confusing crossroads with many signs pointing in different directions ('Learn Python', 'Learn JS'), looking lost and unable to decide."
14_intermediate_custom-learning-roadmap-02-After,aiMethodDiagram,"graphic recording style, simple clean line art, minimalist, on a clean plain white background, monochrome, black and white, educational illustration, a person talking to a friendly robot career designer, the robot is weaving together two threads—one for 'Career Goal' and one for 'Passion'—into a unique, exciting roadmap."
49_beginner_book-recommendation-01-Before,traditionalMethodDiagram,"graphic recording style, simple clean line art, minimalist, on a clean plain white background, monochrome, black and white, educational illustration, a person looking bored while reading a generic bestseller book that everyone is reading, not feeling any personal connection."
49_beginner_book-recommendation-02-After,aiMethodDiagram,"graphic recording style, simple clean line art, minimalist, on a clean plain white background, monochrome, black and white, educational illustration, a person giving their reading history to a friendly robot librarian, the robot analyzes their 'reading DNA' and recommends a surprising, 'fated' book that perfectly matches their hidden interests."
47_intermediate_market-value-career-01-Before,traditionalMethodDiagram,"graphic recording style, simple clean line art, minimalist, on a clean plain white background, monochrome, black and white, educational illustration, a person looking at their paycheck with a question mark, wondering if it's fair, feeling anxious and uncertain about their career."
47_intermediate_market-value-career-02-After,aiMethodDiagram,"graphic recording style, simple clean line art, minimalist, on a clean plain white background, monochrome, black and white, educational illustration, a person giving their resume to a friendly robot headhunter, the robot uses a scale to objectively weigh their skills and presents a clear 'market value' range and a strategic plan for growth."
45_intermediate_visualize-physics-01-Before,traditionalMethodDiagram,"graphic recording style, simple clean line art, minimalist, on a clean plain white background, monochrome, black and white, educational illustration, a person's head filled with question marks while looking at a complex physics equation like E=mc², unable to form a mental image."
45_intermediate_visualize-physics-02-After,aiMethodDiagram,"graphic recording style, simple clean line art, minimalist, on a clean plain white background, monochrome, black and white, educational illustration, a friendly robot illustrator showing a person an animated, step-by-step diagram of a rocket traveling at light speed, making the concept of time dilation intuitive and clear."
44_intermediate_metaphor-creation-01-Before,traditionalMethodDiagram,"graphic recording style, simple clean line art, minimalist, on a clean plain white background, monochrome, black and white, educational illustration, a person (the expert) talking with complex jargon, the listener's face is a big question mark, showing a complete communication breakdown."
44_intermediate_metaphor-creation-02-After,aiMethodDiagram,"graphic recording style, simple clean line art, minimalist, on a clean plain white background, monochrome, black and white, educational illustration, a friendly robot 'metaphor magician' transforming a complex concept like 'API' into a simple, relatable story about a waiter in a restaurant, the listener is having a 'lightbulb moment'."
43_advanced_voice-memo-research-01-Before,traditionalMethodDiagram,"graphic recording style, simple clean line art, minimalist, on a clean plain white background, monochrome, black and white, educational illustration, a person having a great idea in the shower (lightbulb), but the idea evaporates into thin air before they can write it down."
43_advanced_voice-memo-research-02-After,aiMethodDiagram,"graphic recording style, simple clean line art, minimalist, on a clean plain white background, monochrome, black and white, educational illustration, a person speaking their idea into a smartphone, a friendly robot incubator catches the idea and automatically grows it into a structured research report and project outline."
42_advanced_analyze-thinking-bias-01-Before,traditionalMethodDiagram,"graphic recording style, simple clean line art, minimalist, on a clean plain white background, monochrome, black and white, educational illustration, a person looking in a mirror but seeing a distorted, overly positive version of themselves, unable to recognize their own thinking flaws."
42_advanced_analyze-thinking-bias-02-After,aiMethodDiagram,"graphic recording style, simple clean line art, minimalist, on a clean plain white background, monochrome, black and white, educational illustration, a person giving their past writings to a friendly robot cognitive scientist, the robot highlights specific 'cognitive biases' like 'confirmation bias' in the text, revealing the person's blind spots."
41_intermediate_business-plan-validation-01-Before,traditionalMethodDiagram,"graphic recording style, simple clean line art, minimalist, on a clean plain white background, monochrome, black and white, educational illustration, a person holding a fragile-looking idea (a glowing lightbulb), but looking overwhelmed by the many unanswered questions (What about profit? a market?) swirling around it."
41_intermediate_business-plan-validation-02-After,aiMethodDiagram,"graphic recording style, simple clean line art, minimalist, on a clean plain white background, monochrome, black and white, educational illustration, a person presenting their idea to a tough, critical robot investor, the robot is stress-testing the idea with sharp questions, forging it into a strong, solid business plan."
40_advanced_devil-advocate-01-Before,traditionalMethodDiagram,"graphic recording style, simple clean line art, minimalist, on a clean plain white background, monochrome, black and white, educational illustration, a person presenting their idea to a group of colleagues who are all nodding politely, but not providing any real, critical feedback due to social harmony."
40_advanced_devil-advocate-02-After,aiMethodDiagram,"graphic recording style, simple clean line art, minimalist, on a clean plain white background, monochrome, black and white, educational illustration, a person presenting their idea to a friendly robot wearing devil horns ('Devil's Advocate'), the robot is pointing out all the potential flaws and risks with zero sugar-coating."
39_tatsuya_beginner_devils-advocate-01-Before,traditionalMethodDiagram,"graphic recording style, simple clean line art, minimalist, on a clean plain white background, monochrome, black and white, educational illustration, a person asking colleagues for feedback, but the colleagues are giving polite, unhelpful comments to avoid conflict."
39_tatsuya_beginner_devils-advocate-02-After,aiMethodDiagram,"graphic recording style, simple clean line art, minimalist, on a clean plain white background, monochrome, black and white, educational illustration, a person explaining a plan to a skeptical robot risk consultant, the robot is providing a long list of all possible weaknesses and counterarguments, with no holding back."
38_tatsuya_intermediate_chain-of-thought-01-Before,traditionalMethodDiagram,"graphic recording style, simple clean line art, minimalist, on a clean plain white background, monochrome, black and white, educational illustration, a person asking a question to a robot, and the robot gives a generic, superficial answer in a black box, the person is left unsatisfied."
38_tatsuya_intermediate_chain-of-thought-02-After,aiMethodDiagram,"graphic recording style, simple clean line art, minimalist, on a clean plain white background, monochrome, black and white, educational illustration, a person asking a question to a robot, the robot shows its step-by-step thinking process (Step 1 -> Step 2 -> Answer), leading to a logical and convincing conclusion."
37_advanced_fact-opinion-separation-01-Before,traditionalMethodDiagram,"graphic recording style, simple clean line art, minimalist, on a clean plain white background, monochrome, black and white, educational illustration, a person reading two conflicting news articles (one praising, one criticizing) and being pulled in two different directions, looking confused and unable to form a judgment."
37_advanced_fact-opinion-separation-02-After,aiMethodDiagram,"graphic recording style, simple clean line art, minimalist, on a clean plain white background, monochrome, black and white, educational illustration, a person giving multiple news articles to a calm, focused robot fact-checker, the robot separates the content into two neat piles: one for 'Objective Facts' and one for 'Subjective Opinions'."
36_tatsuya_intermediate_gemini-deep-research-01-Before,traditionalMethodDiagram,"graphic recording style, simple clean line art, minimalist, on a clean plain white background, monochrome, black and white, educational illustration, a person lost in a forest of browser tabs, clicking link after link, gathering fragmented information without seeing the whole picture."
36_tatsuya_intermediate_gemini-deep-research-02-After,aiMethodDiagram,"graphic recording style, simple clean line art, minimalist, on a clean plain white background, monochrome, black and white, educational illustration, a person giving a single research topic to a team of small, efficient robots, the robots work together to quickly build a structured, comprehensive report, showing the 'whole forest'."
35_intermediate_concept-map-01-Before,traditionalMethodDiagram,"graphic recording style, simple clean line art, minimalist, on a clean plain white background, monochrome, black and white, educational illustration, a person's head is shown with many disconnected keywords and ideas floating around chaotically, unable to see the connections."
35_intermediate_concept-map-02-After,aiMethodDiagram,"graphic recording style, simple clean line art, minimalist, on a clean plain white background, monochrome, black and white, educational illustration, a person giving their chaotic thoughts to a friendly robot diagramming expert, the robot instantly organizes the ideas into a clear, structured concept map, revealing the hidden connections."
50_tatsuya_intermediate_ai-era-output-thinking-01-Before,traditionalMethodDiagram,"graphic recording style, simple clean line art, minimalist, on a clean plain white background, monochrome, black and white, educational illustration, a person focusing on learning more and more information, trying to compete with an AI on knowledge quantity, looking stressed."
50_tatsuya_intermediate_ai-era-output-thinking-02-After,aiMethodDiagram,"graphic recording style, simple clean line art, minimalist, on a clean plain white background, monochrome, black and white, educational illustration, a person acting as an editor or producer, using a friendly robot as a research assistant to generate a draft, then the person adds their unique perspective and final touch."
46_tatsuya_advanced_notebooklm-knowledge-base-01-Before,traditionalMethodDiagram,"graphic recording style, simple clean line art, minimalist, on a clean plain white background, monochrome, black and white, educational illustration, a person trying to find information in a messy room filled with unorganized file cabinets, representing siloed, inaccessible knowledge."
46_tatsuya_advanced_notebooklm-knowledge-base-02-After,aiMethodDiagram,"graphic recording style, simple clean line art, minimalist, on a clean plain white background, monochrome, black and white, educational illustration, a person uploading all their documents into a secure 'second brain' (NotebookLM), then having an insightful conversation with a robot avatar of their own knowledge."
48_tatsuya_advanced_future-career-strategy-01-Before,traditionalMethodDiagram,"graphic recording style, simple clean line art, minimalist, on a clean plain white background, monochrome, black and white, educational illustration, a person looking at a foggy, uncertain future, feeling anxious about their skills becoming obsolete, with no clear path forward."
48_tatsuya_advanced_future-career-strategy-02-After,aiMethodDiagram,"graphic recording style, simple clean line art, minimalist, on a clean plain white background, monochrome, black and white, educational illustration, a person and a friendly robot futurist looking at a clear, projected image of the 'Future Job Role', then creating a strategic roadmap from the present to that future."
